NAME : gdb1
VERTICES : 12
DEPOT : 1
REQUIRED EDGES : 22
NON-REQUIRED EDGES : 0
VEHICLES : 5
CAPACITY : 5
TOTAL COST OF REQUIRED EDGES : 252
NODES       COST         DEMAND
1   2   13       1
1   4   17       1
1   7   19       1
1   10   19       1
1   12   4       1
2   3   18       1
2   4   9       1
2   9   2       1
3   4   20       1
3   5   5       1
5   6   7       1
5   11   20       1
5   12   11       1
6   7   4       1
6   12   3       1
7   8   8       1
7   12   18       1
8   10   3       1
8   11   10       1
9   10   16       1
9   11   14       1
10   11   12       1
END
